Date,Time UTC+1,Asset,AR Forecast,AR Rolling Hit-Rate,AR Alpha,AR ACD,MA Forecast,MA Rolling Hit-Rate,MA ACD,ARMA Forecast,AMRA Rolling Hit-Rate,ARMA ACD,Last Input,SD,MAD
09.08.2016,14:08:12,EUR/USD,UP,53.2,-0.02,0,UP,52.9,0,UP,52.9,0,1.10772,0.001,6.00E-04
09.08.2016,14:08:17,USD/JPY,DOWN,51,-0.03,-0.0025,UP,47.9,0.0029,UP,49.3,0.0028,102.34,0.1864,0.1295
09.08.2016,14:08:23,GBP/USD,DOWN,48.8,0.06,-1.00E-04,UP,46.3,0,DOWN,47.1,-1.00E-04,1.29915,0.0021,0.0014
09.08.2016,14:08:27,USD/CHF,DOWN,53.4,0.04,-1.00E-04,UP,49.9,0,DOWN,49.9,-1.00E-04,0.98414,9.00E-04,6.00E-04
09.08.2016,14:08:32,AUD/USD,DOWN,50.1,0.06,-1.00E-04,UP,43.8,0,UP,43.8,0,0.76501,0.001,7.00E-04
09.08.2016,14:08:36,USD/CAD,UP,48.8,0.01,0,UP,47.9,0,UP,50.7,0,1.31703,0.0015,0.001
09.08.2016,14:08:40,EUR/CHF,DOWN,49,-0.1,-2.00E-04,UP,51.2,0,DOWN,51.2,-1.00E-04,1.09021,6.00E-04,4.00E-04
09.08.2016,14:08:45,EUR/GBP,UP,49,0.07,0,UP,47.4,0,UP,47.4,0,0.85257,0.0012,8.00E-04
09.08.2016,14:08:49,NZD/USD,UP,49.3,0,0,UP,48.2,0,UP,48.2,0,0.71256,0.0012,8.00E-04
09.08.2016,14:08:54,EUR/SEK,UP,49.3,-0.08,9.00E-04,UP,51,3.00E-04,UP,51,4.00E-04,9.50555,0.006,0.0042
09.08.2016,14:09:00,EUR/NOK,DOWN,51.2,-0.02,-2.00E-04,UP,52.1,0,UP,50.1,0,9.40329,0.0083,0.0058
09.08.2016,14:09:05,USD/SEK,DOWN,52.1,-0.06,-2.00E-04,UP,51.5,2.00E-04,UP,52.3,2.00E-04,8.58104,0.0094,0.0067
09.08.2016,14:09:10,USD/NOK,UP,47.9,-0.01,4.00E-04,UP,51,0,UP,50.7,0,8.48879,0.0104,0.0072
09.08.2016,14:09:15,EUR/JPY,UP,52.1,-0.08,8.00E-04,UP,55.4,0.0077,UP,55.4,0.0071,113.365,0.2196,0.1533
09.08.2016,14:09:20,XAU/USD,UP,51.2,0.03,0.0099,UP,46.2,0.0262,UP,46.2,0.0262,1332.733,2.257,1.5733
09.08.2016,14:09:25,XAG/USD,UP,50.9,-0.07,0.0025,DOWN,50,-0.0016,DOWN,48.8,-0.0018,19.66863,0.0648,0.0437
09.08.2016,14:09:28,XPD/USD,UP,51.3,-0.07,0.0179,UP,52.8,1.00E-04,UP,52.8,0.014,687.004,2.2981,1.503
09.08.2016,14:09:33,XPT/USD,UP,51.5,0.02,0.2709,UP,49.4,0.0252,UP,49.4,0.0339,1142.645,3.0722,2.0852
09.08.2016,14:09:39,SPX500/USD,UP,48.8,-0.15,0.0112,UP,50.6,0.0172,UP,53.8,0.0364,2180.1,2.2873,1.5179
09.08.2016,14:09:43,WTICO_USD,UP,50.6,0.04,0.0028,DOWN,50,-0.0037,DOWN,50,-0.0029,42.384,0.185,0.122
09.08.2016,14:09:47,BCO/USD,DOWN,48.3,0.04,-0.0023,DOWN,50.2,-0.0054,DOWN,50.2,-0.0046,44.635,0.1954,0.1293
09.08.2016,14:19:53,EUR/USD,UP,53.2,-0.02,0,UP,52.9,0,UP,52.9,0,1.10772,0.001,6.00E-04
09.08.2016,14:19:58,USD/JPY,DOWN,51,-0.03,-0.0025,UP,47.9,0.0029,UP,49.3,0.0028,102.34,0.1864,0.1295
09.08.2016,14:20:04,GBP/USD,DOWN,48.8,0.06,-1.00E-04,UP,46.3,0,DOWN,47.1,-1.00E-04,1.29915,0.0021,0.0014
09.08.2016,14:20:08,USD/CHF,DOWN,53.4,0.04,-1.00E-04,UP,49.9,0,DOWN,49.9,-1.00E-04,0.98414,9.00E-04,6.00E-04
09.08.2016,14:20:12,AUD/USD,DOWN,50.1,0.06,-1.00E-04,UP,43.8,0,UP,43.8,0,0.76501,0.001,7.00E-04
09.08.2016,14:20:17,USD/CAD,UP,48.8,0.01,0,UP,47.9,0,UP,50.7,0,1.31703,0.0015,0.001
09.08.2016,14:20:21,EUR/CHF,DOWN,49,-0.1,-2.00E-04,UP,51.2,0,DOWN,51.2,-1.00E-04,1.09021,6.00E-04,4.00E-04
09.08.2016,14:20:26,EUR/GBP,UP,49,0.07,0,UP,47.4,0,UP,47.4,0,0.85257,0.0012,8.00E-04
09.08.2016,14:20:30,NZD/USD,UP,49.3,0,0,UP,48.2,0,UP,48.2,0,0.71256,0.0012,8.00E-04
09.08.2016,14:20:35,EUR/SEK,UP,49.3,-0.08,9.00E-04,UP,51,3.00E-04,UP,51,4.00E-04,9.50555,0.006,0.0042
09.08.2016,14:20:40,EUR/NOK,DOWN,51.2,-0.02,-2.00E-04,UP,52.1,0,UP,50.1,0,9.40329,0.0083,0.0058
09.08.2016,14:20:45,USD/SEK,DOWN,52.1,-0.06,-2.00E-04,UP,51.5,2.00E-04,UP,52.3,2.00E-04,8.58104,0.0094,0.0067
09.08.2016,14:20:50,USD/NOK,UP,47.9,-0.01,4.00E-04,UP,51,0,UP,50.7,0,8.48879,0.0104,0.0072
09.08.2016,14:20:54,EUR/JPY,UP,52.1,-0.08,8.00E-04,UP,55.4,0.0077,UP,55.4,0.0071,113.365,0.2196,0.1533
09.08.2016,14:20:59,XAU/USD,UP,51.2,0.03,0.0099,UP,46.2,0.0262,UP,46.2,0.0262,1332.733,2.257,1.5733
09.08.2016,14:21:04,XAG/USD,UP,50.9,-0.07,0.0025,DOWN,50,-0.0016,DOWN,48.8,-0.0018,19.66863,0.0648,0.0437
09.08.2016,14:21:08,XPD/USD,UP,51.3,-0.07,0.0179,UP,52.8,1.00E-04,UP,52.8,0.014,687.004,2.2981,1.503
09.08.2016,14:21:13,XPT/USD,UP,51.5,0.02,0.2709,UP,49.4,0.0252,UP,49.4,0.0339,1142.645,3.0722,2.0852
09.08.2016,14:21:19,SPX500/USD,UP,48.8,-0.15,0.0112,UP,50.6,0.0172,UP,53.8,0.0364,2180.1,2.2873,1.5179
09.08.2016,14:21:23,WTICO_USD,UP,50.6,0.04,0.0028,DOWN,50,-0.0037,DOWN,50,-0.0029,42.384,0.185,0.122
09.08.2016,14:21:28,BCO/USD,DOWN,48.3,0.04,-0.0023,DOWN,50.2,-0.0054,DOWN,50.2,-0.0046,44.635,0.1954,0.1293
"2016-08-09","16:19:51","EUR/USD","DOWN","53.1","-0.02","-2e-04","UP","53.1","0","DOWN","53.1","-1e-04","1.11152","0.001","7e-04"
"2016-08-09","16:19:57","USD/JPY","DOWN","50.9","-0.03","-0.0151","UP","47.7","0.0028","UP","49.3","0.0033","101.862","0.1858","0.1292"
"2016-08-09","16:20:03","GBP/USD","UP","49.1","0.06","2e-04","UP","45.8","1e-04","UP","46.6","2e-04","1.29917","0.0021","0.0014"
"2016-08-09","16:20:07","USD/CHF","UP","52.6","0.03","1e-04","UP","49.9","0","UP","49.9","0","0.98204","9e-04","6e-04"
"2016-08-09","16:20:12","AUD/USD","UP","49.9","0.06","0","UP","43.6","1e-04","UP","43.6","1e-04","0.76825","0.001","7e-04"
"2016-08-09","16:20:17","USD/CAD","UP","48.8","0.01","0","UP","48","0","UP","50.9","0","1.3115","0.0016","0.001"
"2016-08-09","16:20:21","EUR/CHF","DOWN","49.3","-0.1","-2e-04","DOWN","51.8","-1e-04","DOWN","51.8","-1e-04","1.09168","6e-04","4e-04"
"2016-08-09","16:20:26","EUR/GBP","DOWN","49.1","0.07","-1e-04","UP","46.9","0","UP","46.9","0","0.85556","0.0012","8e-04"
"2016-08-09","16:20:30","NZD/USD","UP","49.3","0.01","0","UP","48.8","0","UP","48.8","0","0.71639","0.0012","8e-04"
"2016-08-09","16:20:35","EUR/SEK","UP","49.3","-0.07","0","UP","51.2","1e-04","UP","51.2","3e-04","9.48257","0.006","0.0042"
"2016-08-09","16:20:41","EUR/NOK","UP","51.5","0","1e-04","UP","52","0","UP","50.7","0","9.34926","0.0084","0.0059"
"2016-08-09","16:20:46","USD/SEK","UP","51.5","-0.05","0.0015","UP","51.2","8e-04","UP","52","0.0012","8.5298","0.0095","0.0067"
"2016-08-09","16:20:52","USD/NOK","UP","48","0","0.0011","UP","50.7","0","UP","50.4","0","8.40994","0.0105","0.0072"
"2016-08-09","16:20:56","EUR/JPY","DOWN","51.5","-0.08","-0.0171","DOWN","55","-0.0049","DOWN","55","-0.0047","113.216","0.2186","0.1524"
"2016-08-09","16:21:01","XAU/USD","UP","51.4","0.04","0.094","UP","46.3","0.0841","DOWN","46.3","-0.0214","1342.039","2.2673","1.5804"
"2016-08-09","16:21:06","XAG/USD","UP","50.9","-0.07","0.0037","DOWN","50.3","-0.0031","UP","48.9","5e-04","19.845","0.065","0.0438"
"2016-08-09","16:21:10","XPD/USD","DOWN","52.2","-0.07","-0.2238","DOWN","52.2","-0.2921","DOWN","52.2","-0.2623","693.694","2.3011","1.5104"
"2016-08-09","16:21:15","XPT/USD","DOWN","51.7","0.02","-0.0154","UP","49.4","0.072","UP","49.4","0.0306","1156.189","3.0973","2.0981"
"2016-08-09","16:21:21","SPX500/USD","DOWN","48.9","-0.15","-0.2068","DOWN","50.6","-0.1815","DOWN","53.4","-0.1477","2184.4","2.2775","1.5131"
"2016-08-09","16:21:25","WTICO_USD","UP","50.3","0.03","0.0145","DOWN","49.7","-0.0014","UP","49.7","7e-04","43.087","0.1866","0.1233"
"2016-08-09","16:21:29","BCO/USD","UP","48.3","0.04","0.0048","DOWN","49.8","-0.0018","DOWN","49.8","-0.0015","45.272","0.1967","0.1304"
"2016-08-09","17:20:20","EUR/USD","DOWN","55","-0.02","-1e-04","UP","50.9","0","DOWN","50.9","-1e-04","1.11102","0.001","7e-04"
"2016-08-09","17:20:24","USD/JPY","DOWN","50.3","-0.03","-0.0279","DOWN","52.8","-0.0016","DOWN","52.8","-0.0014","101.938","0.1856","0.129"
"2016-08-09","17:20:28","GBP/USD","UP","50.9","0.06","0","UP","55","0","UP","55","0","1.30001","0.0021","0.0014"
"2016-08-09","17:20:33","USD/CHF","UP","54.1","0.03","0","UP","48.1","0","UP","48.1","0","0.98245","9e-04","6e-04"
"2016-08-09","17:20:37","AUD/USD","DOWN","46.2","0.06","-1e-04","UP","41.2","0","UP","41.2","0","0.76764","0.001","7e-04"
"2016-08-09","17:20:42","USD/CAD","UP","46.2","0.01","2e-04","UP","46.6","0","UP","46.6","0","1.31214","0.0016","0.001"
"2016-08-09","17:20:46","EUR/CHF","DOWN","49.1","-0.1","-1e-04","UP","49.1","0","DOWN","49.1","-1e-04","1.09157","6e-04","4e-04"
"2016-08-09","17:20:50","EUR/GBP","DOWN","50.3","0.07","-1e-04","UP","50","0","UP","50","0","0.85455","0.0012","8e-04"
"2016-08-09","17:20:55","NZD/USD","DOWN","49.7","0.01","-1e-04","UP","52.2","0","UP","52.2","0","0.71753","0.0012","8e-04"
"2016-08-09","17:21:00","EUR/SEK","UP","51.6","-0.07","0","DOWN","51.6","-2e-04","UP","51.6","4e-04","9.47365","0.0061","0.0042"
"2016-08-09","17:21:05","EUR/NOK","UP","48.4","0","3e-04","UP","50.6","0","UP","49.4","0","9.3385","0.0084","0.0059"
"2016-08-09","17:21:10","USD/SEK","UP","49.4","-0.05","7e-04","DOWN","52.5","-1e-04","UP","53.1","4e-04","8.5265","0.0095","0.0067"
"2016-08-09","17:21:15","USD/NOK","DOWN","50.9","0.01","-4e-04","UP","53.8","0","UP","53.8","0","8.40676","0.0105","0.0072"
"2016-08-09","17:21:18","EUR/JPY","DOWN","53.4","-0.08","-0.003","DOWN","56.6","-0.0054","DOWN","56.6","-0.0057","113.261","0.2184","0.1522"
"2016-08-09","17:21:24","XAU/USD","UP","53.5","0.03","0.1171","DOWN","48.8","-0.0452","DOWN","49.8","-0.0055","1339.844","2.2641","1.5782"
"2016-08-09","17:21:28","XAG/USD","UP","52.5","-0.07","3e-04","UP","54.2","9e-04","UP","52.2","9e-04","19.82266","0.0649","0.0437"
"2016-08-09","17:21:32","XPD/USD","UP","51.4","-0.07","0.3805","DOWN","52.1","-0.0162","UP","52.1","0.0096","692.541","2.2957","1.5049"
"2016-08-09","17:21:38","XPT/USD","DOWN","47.8","0.02","-0.0923","DOWN","43.8","-0.0077","DOWN","42.1","-0.0081","1154.276","3.0917","2.0915"
"2016-08-09","17:21:43","SPX500/USD","DOWN","51.8","-0.14","-0.0429","DOWN","51.2","-0.2253","DOWN","52.5","-0.1984","2186.4","2.2765","1.5141"
"2016-08-09","17:21:47","WTICO_USD","UP","49.5","0.02","0.0018","UP","47.8","0.0021","UP","47.8","0.0013","42.85","0.1873","0.124"
"2016-08-09","17:21:51","BCO/USD","UP","47.8","0.03","0.0224","UP","48.9","0.0031","UP","48.9","0.0019","45.081","0.1972","0.131"
