Date,Time UTC+1,Model,Asset,Forecast,Last Input Price,AR Alpha,Rolling Hit-Rate,SD,MAD,ACD
"2016-07-06","00:19:48","AR","EUR/USD","DOWN","1.1137","0.18","64.4","0.0049","0.0036","1e-04"
"2016-07-06","00:19:51","AR","USD/JPY","UP","102.61","0.35","59.1","0.5536","0.3985","-0.09"
"2016-07-06","00:19:53","AR","GBP/USD","UP","1.3284","0.19","60.1","0.0084","0.005","-0.0042"
"2016-07-06","00:19:56","AR","USD/CHF","DOWN","0.973","0.42","63","0.004","0.0029","-6e-04"
"2016-07-06","00:19:58","AR","AUD/USD","UP","0.7511","0.13","52.4","0.004","0.0031","4e-04"
"2016-07-06","00:20:01","AR","USD/CAD","DOWN","1.2877","0.3","56.7","0.006","0.0043","-2e-04"
"2016-07-06","00:20:04","AR","EUR/CHF","DOWN","1.0837","0.09","51.9","0.0024","0.0018","4e-04"
"2016-07-06","00:20:06","AR","EUR/GBP","DOWN","0.8384","0.33","56.2","0.004","0.0027","0.0021"
"2016-07-06","00:20:09","AR","NZD/USD","UP","0.7201","0.17","54.8","0.0043","0.0033","-6e-04"
"2016-07-06","00:20:12","AR","EUR/SEK","DOWN","9.3984","0.2","57.7","0.0243","0.0182","0.0031"
"2016-07-06","00:20:15","AR","EUR/NOK","DOWN","9.2667","0.03","53.8","0.0375","0.0279","0.004"
"2016-07-06","00:20:17","AR","USD/SEK","UP","8.4389","0.11","56.7","0.0401","0.0284","7e-04"
"2016-07-06","00:20:20","AR","USD/NOK","DOWN","8.3206","0.11","60.1","0.0441","0.0322","0.0134"
"2016-07-06","00:20:23","AR","EUR/JPY","UP","114.28","0.19","62","0.6279","0.4365","-0.1184"
"2016-07-06","00:20:25","AR","XAU/USD","UP","1348.75","0.18","58.7","8.5705","6.468","2.4992"
"2016-07-06","00:20:28","AR","XAG/USD","UP","20.2747","0.46","57.7","0.1674","0.1229","0.2972"
"2016-07-06","00:20:31","AR","XPD/USD","UP","613.605","0.18","46.6","10.8121","5.5553","3.1235"
"2016-07-06","00:20:33","AR","XPT/USD","UP","1063.08","0.09","40.9","12.624","7.3045","-1.9317"
"2016-07-06","00:20:35","MA","EUR/USD","DOWN","1.1137","0.18","67.3","0.0049","0.0036","4e-04"
"2016-07-06","00:20:36","MA","USD/JPY","UP","102.61","0.35","63.5","0.5536","0.3985","-0.0556"
"2016-07-06","00:20:38","MA","GBP/USD","UP","1.3284","0.19","63.5","0.0084","0.005","-3e-04"
"2016-07-06","00:20:39","MA","USD/CHF","UP","0.973","0.42","64.4","0.004","0.0029","-3e-04"
"2016-07-06","00:20:41","MA","AUD/USD","UP","0.7511","0.13","53.4","0.004","0.0031","3e-04"
"2016-07-06","00:20:42","MA","USD/CAD","DOWN","1.2877","0.3","58.7","0.006","0.0043","-6e-04"
"2016-07-06","00:20:44","MA","EUR/CHF","DOWN","1.0837","0.09","57.2","0.0024","0.0018","1e-04"
"2016-07-06","00:20:45","MA","EUR/GBP","DOWN","0.8384","0.33","56.7","0.004","0.0027","6e-04"
"2016-07-06","00:20:46","MA","NZD/USD","UP","0.7201","0.17","56.7","0.0043","0.0033","1e-04"
"2016-07-06","00:20:48","MA","EUR/SEK","DOWN","9.3984","0.2","56.7","0.0243","0.0182","0.0013"
"2016-07-06","00:20:50","MA","EUR/NOK","DOWN","9.2667","0.03","53.4","0.0375","0.0279","1e-04"
"2016-07-06","00:20:51","MA","USD/SEK","UP","8.4389","0.11","63.9","0.0401","0.0284","-0.0013"
"2016-07-06","00:20:53","MA","USD/NOK","DOWN","8.3206","0.11","60.1","0.0441","0.0322","-9e-04"
"2016-07-06","00:20:54","MA","EUR/JPY","UP","114.28","0.19","62.5","0.6279","0.4365","0.0014"
"2016-07-06","00:20:56","MA","XAU/USD","UP","1348.75","0.18","60.6","8.5705","6.468","1.0455"
"2016-07-06","00:20:57","MA","XAG/USD","UP","20.2747","0.46","58.7","0.1674","0.1229","0.1114"
