"","Asset","Forecast","Last Input Price","AR Alpha"
"1","EUR/USD","0","1.1006","0.38"
"2","USD/JPY","-0.0035","113.77","0.35"
"3","GBP/USD","0","1.4227","0.36"
"4","USD/CHF","0","0.993","0.41"
"5","AUD/USD","0","0.7441","0.28"
"6","USD/CAD","0","1.3317","0.29"
"7","EUR/CHF","0","1.093","0.27"
"8","NZD/USD","0","0.682","0.2"
"9","EUR/SEK","1e-04","9.3309","0.37"
"10","EUR/NOK","-1e-04","9.3288","0.37"
"11","USD/SEK","-6e-04","8.4917","0.35"
"12","USD/NOK","-1e-04","8.4775","0.37"
"13","EUR/JPY","-0.0038","125.21","0.38"
"14","XAU/USD","-0.0136","1259.275","0.34"
"15","XPD/USD","0","493.93","0.03"
