"","Asset","Forecast","Last Input Price","AR Alpha"
"1","EUR/USD","-6e-04","1.1295","0.42"
"2","USD/JPY","0.1037","111.39","0.38"
"3","GBP/USD","-3e-04","1.4472","0.44"
"4","USD/CHF","0.0013","0.9679","0.45"
"5","AUD/USD","7e-04","0.7631","0.31"
"6","USD/CAD","5e-04","1.2994","0.32"
"7","EUR/CHF","5e-04","1.0932","0.32"
"8","NZD/USD","-0.001","0.682","0.2"
"9","EUR/SEK","-0.0036","9.2652","0.45"
"10","EUR/NOK","0.0101","9.4136","0.44"
"11","USD/SEK","-0.0034","8.2031","0.39"
"12","USD/NOK","0.0099","8.3344","0.45"
"13","EUR/JPY","0.0309","125.82","0.42"
"14","XAU/USD","2.0198","1257.44","0.33"
"15","XPD/USD","-0.0948","589.995","0.03"
