"","Asset","Forecast","Last Input Price","AR Alpha","Rolling Hit-Rate"
"1","EUR/USD","2e-04","1.1265","0.39","59.1"
"2","USD/JPY","-0.3508","106.21","0.44","55.4"
"3","GBP/USD","-0.0014","1.4205","0.41","53.8"
"4","USD/CHF","2e-04","0.965","0.51","56.5"
"5","AUD/USD","1e-04","0.7389","0.28","50.8"
"6","USD/CAD","4e-04","1.2787","0.33","52.7"
"7","EUR/CHF","5e-04","1.0871","0.56","52.5"
"8","NZD/USD","-1e-04","0.7055","0.24","49.6"
"9","EUR/SEK","-0.0047","9.33","0.41","58.5"
"10","EUR/NOK","-0.0033","9.3182","0.19","54.2"
"11","USD/SEK","-0.0142","8.282","0.43","58.8"
"12","USD/NOK","-0.0033","8.2715","0.44","59.2"
"13","EUR/JPY","-0.2675","119.65","0.46","55"
"14","XAU/USD","2.1963","1280.42","0.32","49.6"
"15","XPD/USD","-2.3567","541.985","0.08","40"
"16","EUR/GBP","0.0011","0.7931","0.36","49.2"
