"","Model","Asset","Forecast","Last Input Price","AR Alpha","Rolling Hit-Rate","SD","MAD"
"1","AR","EUR/USD","1e-04","1.1137","0.18","64.4","0.0049402539713545","0.00360912052117264"
"2","AR","USD/JPY","-0.09","102.61","0.35","59.1","0.553604632032522","0.398534201954397"
"3","AR","GBP/USD","-0.0042","1.3284","0.19","60.1","0.00836119160323933","0.00498697068403909"
"4","AR","USD/CHF","-6e-04","0.973","0.42","63","0.00400587399491507","0.00293420195439739"
"5","AR","AUD/USD","4e-04","0.7511","0.13","52.4","0.00399520059732998","0.00306188925081433"
"6","AR","USD/CAD","-2e-04","1.2877","0.3","56.7","0.00595072687024181","0.00432182410423452"
"7","AR","EUR/CHF","4e-04","1.0837","0.09","51.9","0.00242197041410641","0.00184527687296417"
"8","AR","EUR/GBP","0.0021","0.8384","0.33","56.2","0.00399963180375182","0.00270977198697069"
"9","AR","NZD/USD","-6e-04","0.7201","0.17","54.8","0.0043145359736676","0.00331009771986971"
"10","AR","EUR/SEK","0.0031","9.3984","0.2","57.7","0.0243241931115196","0.0181830618892508"
"11","AR","EUR/NOK","0.004","9.2667","0.03","53.8","0.0374588152373477","0.0278853420195439"
"12","AR","USD/SEK","7e-04","8.4389","0.11","56.7","0.0401227302880526","0.0284384364820847"
"13","AR","USD/NOK","0.0134","8.3206","0.11","60.1","0.0441405041013178","0.0322475570032573"
"14","AR","EUR/JPY","-0.1184","114.28","0.19","62","0.627910324772079","0.436482084690554"
"15","AR","XAU/USD","2.4992","1348.75","0.18","58.7","8.5704813276045","6.46802931596091"
"16","AR","XAG/USD","0.2972","20.2747","0.46","57.7","0.167363128612273","0.122924755700326"
"17","AR","XPD/USD","3.1235","613.605","0.18","46.6","10.8121107196506","5.55528013029316"
"18","AR","XPT/USD","-1.9317","1063.08","0.09","40.9","12.6239510913332","7.30452768729642"
