"","Asset","Forecast","Last Input Price"
"1","EUR/USD","-0.0012","1.0908"
"2","USD/JPY","-0.3112","113.16"
"3","GBP/USD","2e-04","1.3878"
"4","USD/CHF","8e-04","0.9982"
"5","AUD/USD","-1e-04","0.7136"
"6","USD/CAD","7e-04","1.3536"
"7","EUR/CHF","-4e-04","1.0888"
"8","NZD/USD","-0.0012","0.6592"
"9","EUR/SEK","-0.0128","9.337"
"10","EUR/NOK","-0.0035","9.4874"
"11","USD/SEK","0.0014","8.5592"
"12","USD/NOK","0.0108","8.6976"
"13","EUR/JPY","-0.5002","123.44"
"14","XAU/USD","2.2587","1229.21"
"15","XPD/USD","0.1687","493.93"
