"","Asset","Forecast","Last Input Price","AR Alpha"
"1","EUR/USD","-2e-04","1.1006","0.38"
"2","USD/JPY","-0.0045","113.77","0.35"
"3","GBP/USD","-2e-04","1.4227","0.36"
"4","USD/CHF","-1e-04","0.993","0.41"
"5","AUD/USD","-5e-04","0.7441","0.28"
"6","USD/CAD","7e-04","1.3317","0.29"
"7","EUR/CHF","-3e-04","1.093","0.27"
"8","NZD/USD","-4e-04","0.682","0.2"
"9","EUR/SEK","4e-04","9.3309","0.37"
"10","EUR/NOK","0.0097","9.3288","0.37"
"11","USD/SEK","-8e-04","8.4917","0.35"
"12","USD/NOK","0.0093","8.4775","0.37"
"13","EUR/JPY","-0.028","125.21","0.38"
"14","XAU/USD","0.7913","1259.275","0.34"
"15","XPD/USD","0","493.93","0.03"
