"","Asset","Forecast","Last Input Price","AR Alpha"
"1","EUR/USD","0","1.1167","0.41"
"2","USD/JPY","0.0023","113.09","0.38"
"3","GBP/USD","0","1.4133","0.45"
"4","USD/CHF","0","0.9775","0.44"
"5","AUD/USD","4e-04","0.7508","0.3"
"6","USD/CAD","-3e-04","1.3265","0.31"
"7","EUR/CHF","0","1.0915","0.31"
"8","NZD/USD","-1e-04","0.6685","0.2"
"9","EUR/SEK","-6e-04","9.2739","0.45"
"10","EUR/NOK","0.0012","9.47","0.42"
"11","USD/SEK","0.0072","8.4041","0.38"
"12","USD/NOK","0.0013","8.4798","0.44"
"13","EUR/JPY","-0.0017","126.29","0.41"
"14","XAU/USD","-0.0168","1217.3","0.33"
"15","XPD/USD","-0.0012","577.192","0.03"
