"","Asset","Forecast","Last Input Price","AR Alpha","Rolling Hit-Rate"
"1","EUR/USD","-6e-04","1.1251","0.4","56.5"
"2","USD/JPY","-0.014","106.96","0.44","53.5"
"3","GBP/USD","-0.0033","1.4257","0.43","54.8"
"4","USD/CHF","0.0016","0.9645","0.5","58.3"
"5","AUD/USD","9e-04","0.7375","0.29","58.3"
"6","USD/CAD","0.0011","1.2781","0.34","56.9"
"7","EUR/CHF","-0.0016","1.0852","0.57","54.2"
"8","NZD/USD","2e-04","0.7053","0.25","52.7"
"9","EUR/SEK","0.0114","9.3491","0.35","55.2"
"10","EUR/NOK","0.0102","9.309","0.19","55.4"
"11","USD/SEK","0.0174","8.3092","0.43","57.7"
"12","USD/NOK","0.0222","8.274","0.46","61"
"13","EUR/JPY","-0.1524","120.34","0.46","53.1"
"14","XAU/USD","-0.2453","1273.78","0.32","53.1"
"15","XPD/USD","0.4139","544.425","0.04","53.1"
"16","EUR/GBP","0.0019","0.7892","0.38","52.3"
