"","Model","Asset","Forecast","Last Input Price","AR Alpha","Rolling Hit-Rate","SD","MAD"
"1","ARMA","EUR/USD","4e-04","1.1137","0.18","64.9","0.0049402539713545","0.00360912052117264"
"2","ARMA","USD/JPY","-0.075","102.61","0.35","60.1","0.553604632032522","0.398534201954397"
"3","ARMA","GBP/USD","-0.0011","1.3284","0.19","60.1","0.00836119160323933","0.00498697068403909"
"4","ARMA","USD/CHF","-6e-04","0.973","0.42","63.5","0.00400587399491507","0.00293420195439739"
"5","ARMA","AUD/USD","2e-04","0.7511","0.13","51.9","0.00399520059732998","0.00306188925081433"
"6","ARMA","USD/CAD","-8e-04","1.2877","0.3","51.9","0.00595072687024181","0.00432182410423452"
"7","ARMA","EUR/CHF","1e-04","1.0837","0.09","54.8","0.00242197041410641","0.00184527687296417"
"8","ARMA","EUR/GBP","0.0015","0.8384","0.33","56.7","0.00399963180375182","0.00270977198697069"
"9","ARMA","NZD/USD","8e-04","0.7201","0.17","56.7","0.0043145359736676","0.00331009771986971"
"10","ARMA","EUR/SEK","-9e-04","9.3984","0.2","57.2","0.0243241931115196","0.0181830618892508"
"11","ARMA","EUR/NOK","1e-04","9.2667","0.03","53.4","0.0374588152373477","0.0278853420195439"
"12","ARMA","USD/SEK","-0.0029","8.4389","0.11","63","0.0401227302880526","0.0284384364820847"
"13","ARMA","USD/NOK","-0.0014","8.3206","0.11","60.6","0.0441405041013178","0.0322475570032573"
"14","ARMA","EUR/JPY","-0.3757","114.28","0.19","60.6","0.627910324772079","0.436482084690554"
"15","ARMA","XAU/USD","1.6801","1348.75","0.18","58.7","8.5704813276045","6.46802931596091"
"16","ARMA","XAG/USD","0.233","20.2747","0.46","55.3","0.167363128612273","0.122924755700326"
"17","ARMA","XPD/USD","-3.652","613.605","0.18","55.3","10.8121107196506","5.55528013029316"
"18","ARMA","XPT/USD","2.4479","1063.08","0.09","55.3","12.6239510913332","7.30452768729642"
