"","Asset","Forecast","Last Input Price"
"1","EUR/USD","-9e-04","1.0908"
"2","USD/JPY","-0.2986","113.16"
"3","GBP/USD","3e-04","1.3878"
"4","USD/CHF","6e-04","0.9982"
"5","AUD/USD","2e-04","0.7136"
"6","USD/CAD","7e-04","1.3536"
"7","EUR/CHF","-2e-04","1.0888"
"8","NZD/USD","-7e-04","0.6592"
"9","EUR/SEK","-0.01","9.337"
"10","EUR/NOK","-0.0038","9.4874"
"11","USD/SEK","-9e-04","8.5592"
"12","USD/NOK","0.0032","8.6976"
"13","EUR/JPY","-0.4495","123.44"
"14","XAU/USD","2.2041","1229.21"
"15","XPD/USD","0.2532","493.93"
