"","Asset","Forecast","Last Input Price","AR Alpha"
"1","EUR/USD","-8e-04","1.0983","0.41"
"2","USD/JPY","-0.0534","113.62","0.38"
"3","GBP/USD","-6e-04","1.4204","0.38"
"4","USD/CHF","0.0014","0.9963","0.46"
"5","AUD/USD","-3e-04","0.7427","0.31"
"6","USD/CAD","3e-04","1.3333","0.31"
"7","EUR/CHF","6e-04","1.0943","0.32"
"8","NZD/USD","-8e-04","0.6784","0.22"
"9","EUR/SEK","-7e-04","9.3301","0.46"
"10","EUR/NOK","0.0033","9.3449","0.47"
"11","USD/SEK","0.0015","8.4944","0.39"
"12","USD/NOK","0.0101","8.5083","0.46"
"13","EUR/JPY","-0.1536","124.8","0.41"
"14","XAU/USD","1.4931","1264.79","0.37"
"15","XPD/USD","2.3272","578.005","0.03"
