"","Asset","Forecast","Last Input Price","AR Alpha"
"1","EUR/USD","-0.0011","1.0983","0.44"
"2","USD/JPY","-0.0471","113.62","0.38"
"3","GBP/USD","-0.0011","1.4204","0.35"
"4","USD/CHF","0.0012","0.9963","0.46"
"5","AUD/USD","-8e-04","0.7427","0.29"
"6","USD/CAD","0.0011","1.3333","0.29"
"7","EUR/CHF","1e-04","1.0943","0.28"
"8","NZD/USD","-0.0011","0.6784","0.22"
"9","EUR/SEK","1e-04","9.3301","0.42"
"10","EUR/NOK","0.0174","9.3449","0.47"
"11","USD/SEK","6e-04","8.4944","0.43"
"12","USD/NOK","0.0219","8.5083","0.45"
"13","EUR/JPY","-0.1605","124.8","0.4"
"14","XAU/USD","3.5948","1264.79","0.39"
"15","XPD/USD","2.4435","578.005","0.03"
