"","Asset","Forecast ARMA (underest.)","Last Input Price","AR Alpha","UP/DOWN"
"1","EUR/USD","-0.0015","1.1225","0.38","-1"
"2","USD/JPY","0.3625","111.78","0.38","1"
"3","GBP/USD","0.0011","1.4404","0.44","1"
"4","USD/CHF","8e-04","0.9785","0.45","1"
"5","AUD/USD","-4e-04","0.771","0.32","-1"
"6","USD/CAD","-0.0013","1.2668","0.29","-1"
"7","EUR/CHF","-6e-04","1.0983","0.32","-1"
"8","NZD/USD","-6e-04","0.6853","0.22","-1"
"9","EUR/SEK","-0.0027","9.1584","0.5","-1"
"10","EUR/NOK","-0.0081","9.2526","0.4","-1"
"11","USD/SEK","0.0099","8.1616","0.37","1"
"12","USD/NOK","0.0012","8.2366","0.42","1"
"13","EUR/JPY","0.2631","125.49","0.37","1"
"14","XAU/USD","-3.1472","1232.395","0.34","-1"
"15","XPD/USD","7e-04","608.5","0.04","1"
