"","Asset","Forecast","Last Input Price","AR Alpha","Rolling Hit-Rate"
"1","EUR/USD","-6e-04","1.1235","0.42","58.3"
"2","USD/JPY","-0.6184","104.61","0.44","55.4"
"3","GBP/USD","2e-04","1.4166","0.43","52.7"
"4","USD/CHF","-5e-04","0.963","0.55","56.2"
"5","AUD/USD","-7e-04","0.737","0.27","51.9"
"6","USD/CAD","7e-04","1.2963","0.34","56.4"
"7","EUR/CHF","3e-04","1.0819","0.58","51.5"
"8","NZD/USD","8e-04","0.7047","0.25","51.9"
"9","EUR/SEK","0.0107","9.3734","0.44","59.2"
"10","EUR/NOK","0.0068","9.3885","0.19","53.5"
"11","USD/SEK","0.0042","8.3435","0.43","61.9"
"12","USD/NOK","0.0116","8.357","0.45","61.9"
"13","EUR/JPY","-0.7453","117.53","0.5","55"
"14","XAU/USD","4.8831","1300.195","0.32","53.5"
"15","XPD/USD","0.5012","539","0.1","35.8"
"16","EUR/GBP","-5e-04","0.7931","0.37","53.3"
