"","Model","Asset","Forecast","Last Input Price","AR Alpha","Rolling Hit-Rate","SD","MAD"
"1","MA","EUR/USD","4e-04","1.1137","0.18","67.3","0.0049402539713545","0.00360912052117264"
"2","MA","USD/JPY","-0.0556","102.61","0.35","63.5","0.553604632032522","0.398534201954397"
"3","MA","GBP/USD","-3e-04","1.3284","0.19","63.5","0.00836119160323933","0.00498697068403909"
"4","MA","USD/CHF","-3e-04","0.973","0.42","64.4","0.00400587399491507","0.00293420195439739"
"5","MA","AUD/USD","3e-04","0.7511","0.13","53.4","0.00399520059732998","0.00306188925081433"
"6","MA","USD/CAD","-6e-04","1.2877","0.3","58.7","0.00595072687024181","0.00432182410423452"
"7","MA","EUR/CHF","1e-04","1.0837","0.09","57.2","0.00242197041410641","0.00184527687296417"
"8","MA","EUR/GBP","6e-04","0.8384","0.33","56.7","0.00399963180375182","0.00270977198697069"
"9","MA","NZD/USD","1e-04","0.7201","0.17","56.7","0.0043145359736676","0.00331009771986971"
"10","MA","EUR/SEK","0.0013","9.3984","0.2","56.7","0.0243241931115196","0.0181830618892508"
"11","MA","EUR/NOK","1e-04","9.2667","0.03","53.4","0.0374588152373477","0.0278853420195439"
"12","MA","USD/SEK","-0.0013","8.4389","0.11","63.9","0.0401227302880526","0.0284384364820847"
"13","MA","USD/NOK","-9e-04","8.3206","0.11","60.1","0.0441405041013178","0.0322475570032573"
"14","MA","EUR/JPY","0.0014","114.28","0.19","62.5","0.627910324772079","0.436482084690554"
"15","MA","XAU/USD","1.0455","1348.75","0.18","60.6","8.5704813276045","6.46802931596091"
"16","MA","XAG/USD","0.1114","20.2747","0.46","58.7","0.167363128612273","0.122924755700326"
"17","MA","XPD/USD","0.2624","613.605","0.18","43.8","10.8121107196506","5.55528013029316"
"18","MA","XPT/USD","-0.2259","1063.08","0.09","39.9","12.6239510913332","7.30452768729642"
